id,county,Math_2013,CR_2013,Writing_2013,Total_2013,income2013,freelunch_2013,dropout_2013,hispanic_percent,black_percent,white_percent,other_percent,state_code,geometry
58,Buncombe,530,523,502,1555,41551,47.8951518,2.84,12.80932154,6.137718717,74.93472585,6.118233896,NC,"{""type"": ""Polygon"",""coordinates"": [[[-82.25793807042527, 35.46384916079111], [-82.32271332329346, 35.49527784265124], [-82.37080290949218, 35.47888870230351], [-82.36467640837657, 35.46357646432753], [-82.37352681768968, 35.4574956543747], [-82.40890529853647, 35.46903837142125], [-82.4747641364975, 35.44452034842165], [-82.51935933302022, 35.444031266485354], [-82.52674477590216, 35.42843680010254], [-82.55097652977985, 35.42700954701209], [-82.56377917286947, 35.438537085475076], [-82.61852956704654, 35.43778805086889], [-82.66883217000586, 35.45527688736574], [-82.7140071055339, 35.43926197939888], [-82.74373946412274, 35.41814354468312], [-82.78073599233723, 35.44179701006859], [-82.79457658116095, 35.46507738276206], [-82.7704838693251, 35.53284121066521], [-82.77188874307052, 35.571399578864586], [-82.81319666246692, 35.61763996807167], [-82.82296265637298, 35.62149258268036], [-82.84472206246866, 35.61325252855987], [-82.8653836891647, 35.63590731567314], [-82.88097199086681, 35.67366443079459], [-82.8431296581005, 35.69183044969491], [-82.80548495774461, 35.68501055151147], [-82.76616222094339, 35.69410537228262], [-82.50040247365389, 35.796237968499945], [-82.40566562932236, 35.8140851853416], [-82.3751012978602, 35.81651583087185], [-82.34524611189386, 35.80530911482508], [-82.34169712076029, 35.76362276692062], [-82.32169148861561, 35.73996479458371], [-82.28142151495332, 35.720320340201965], [-82.27904795747453, 35.697672857458265], [-82.28902665876652, 35.6716070851725], [-82.2840815487702, 35.639022499780474], [-82.26518203647552, 35.61260648038409], [-82.29051162155689, 35.58942044284642], [-82.26784331358934, 35.568978258061435], [-82.17054061518463, 35.52858670031859], [-82.22274256144577, 35.51581436259204], [-82.22743450510137, 35.483041935753036], [-82.23999309936121, 35.46827462446787], [-82.25793807042527, 35.46384916079111]]]}"
47,Burke,513,493,479,1485,37719,54.7637672,1.53,10.68240043,5.496467666,72.92912041,10.89201149,NC,"{""type"": ""Polygon"",""coordinates"": [[[-81.8161061322582, 35.57450512742059], [-81.8654485473466, 35.71897954805333], [-81.98542763514902, 35.80007856457148], [-81.97512805963679, 35.818404657953664], [-81.93281395038247, 35.827724722688274], [-81.9060876765939, 35.84812245960743], [-81.90605845911567, 35.892140559130866], [-81.9411797847107, 35.955102048970375], [-81.9219842641347, 35.982640817313424], [-81.90068254672741, 35.99477953983366], [-81.88064686823986, 35.98965285667912], [-81.85970280592083, 35.97046894020795], [-81.80261718925416, 35.9604599335529], [-81.77551600963221, 35.94407612902123], [-81.77330268204739, 35.92233226413738], [-81.74826962328773, 35.92088682782908], [-81.70165080557258, 35.86892691004019], [-81.59318646063541, 35.81325600988641], [-81.56007316321693, 35.77557862118165], [-81.45695882864828, 35.78006547264513], [-81.41738339174269, 35.75603694601415], [-81.3764655049592, 35.7501663050493], [-81.4055339947827, 35.69764182683865], [-81.49550989247811, 35.606680409097045], [-81.52345687665189, 35.56139191911456], [-81.56235264456011, 35.555440153023966], [-81.58792715913992, 35.56190550436152], [-81.64372249259642, 35.55342798052426], [-81.68413663690046, 35.56556551155158], [-81.6950164694584, 35.57176417569413], [-81.70063959072283, 35.59573960318469], [-81.74943101804782, 35.6018383891392], [-81.76543028119475, 35.58435146939182], [-81.8161061322582, 35.57450512742059]]]}"
74,Cabarrus,518,499,481,1498,50298,37.1118065,1.95,13.45556557,18.49180109,61.21297131,6.839662025,NC,"{""type"": ""Polygon"",""coordinates"": [[[-80.5027334990654, 35.18705706985159], [-80.53943137699254, 35.20596222878657], [-80.65923728389113, 35.264817834068594], [-80.68977845894766, 35.34090056184026], [-80.7625342795028, 35.400820222092264], [-80.7452305906429, 35.4199964715656], [-80.76148193224574, 35.4652757922331], [-80.77517710713077, 35.47971010715278], [-80.77602410317553, 35.506946650729766], [-80.72630968327994, 35.50770635696807], [-80.29802004627753, 35.49503980309004], [-80.37825528224216, 35.38497979013022], [-80.48150819261629, 35.210753532589806], [-80.5027334990654, 35.18705706985159]]]}"
37,Caldwell,505,495,474,1474,34876,51.3334424,1.93,8.574430257,5.697430095,80.87118151,4.856958138,NC,"{""type"": ""Polygon"",""coordinates"": [[[-81.32794143828174, 35.795191164275096], [-81.3764655049592, 35.7501663050493], [-81.41738339174269, 35.75603694601415], [-81.45695882864828, 35.78006547264513], [-81.56007316321693, 35.77557862118165], [-81.59318646063541, 35.81325600988641], [-81.70165080557258, 35.86892691004019], [-81.74826962328773, 35.92088682782908], [-81.77330268204739, 35.92233226413738], [-81.77551600963221, 35.94407612902123], [-81.80261718925416, 35.9604599335529], [-81.73209805990562, 36.05860501744285], [-81.80605314397367, 36.1046889066468], [-81.65883134791358, 36.11772109343516], [-81.54592750040497, 36.11152258470473], [-81.5171326913218, 36.09556207097928], [-81.45425590108677, 36.08318753647154], [-81.42945124633698, 36.06579272430627], [-81.39796319704766, 36.05618747833457], [-81.38852481188698, 36.03769773599182], [-81.34716368974209, 36.01548877444193], [-81.32168003944744, 35.98945740003833], [-81.32907320113127, 35.989377310993376], [-81.3393801328171, 35.92937238129245], [-81.33049081867038, 35.87593262931307], [-81.33702118407741, 35.82776083010376], [-81.32794143828174, 35.795191164275096]]]}"
9,Camden,480,481,463,1424,57113,29.6101159,1.34,2.505219207,12.47390397,78.96659708,6.054279749,NC,"{""type"": ""Polygon"",""coordinates"": [[[-76.00861916106211, 36.319753065533824], [-75.95682579326, 36.193930948319576], [-75.9809812397876, 36.16988636243637], [-76.18282096709592, 36.31539546514873], [-76.1931364982523, 36.32500827451019], [-76.21585018655841, 36.328002599793535], [-76.23819036774019, 36.361384293940326], [-76.26094218381931, 36.36391326353743], [-76.27379077709192, 36.381563573225186], [-76.30302022206594, 36.39200032583385], [-76.32102652911269, 36.40979941672286], [-76.40563283451266, 36.44731243121049], [-76.49801445999535, 36.50405505333208], [-76.56325569019823, 36.55540420149605], [-76.49722854091308, 36.55596477300677], [-76.32991656851596, 36.55620882183655], [-76.16794429748352, 36.42724048989534], [-76.15780427841273, 36.41284414733657], [-76.1605812339466, 36.39205440925102], [-76.0947362276641, 36.34907161345568], [-76.04360191085166, 36.35374868935196], [-76.03252330619442, 36.336132881154455], [-76.01699685851538, 36.33788769118625], [-76.00861916106211, 36.319753065533824]]]}"
100,Carteret,529,517,495,1541,45507,36.3007985,1.59,6.509988249,6.650998825,79.50646298,7.332549941,NC,"{""type"": ""MultiPolygon"",""coordinates"": [[[[-77.14863009432862, 34.7644928670915], [-77.1639352351512, 34.774678007480624], [-77.15949480010705, 34.78865867442698], [-77.1003647370241, 34.797657502313065], [-77.07280638675414, 34.8156016445125], [-77.05713499137278, 34.81520876267743], [-77.04867368219986, 34.83135240368228], [-76.74986948506029, 34.848435044705916], [-76.6252691661161, 34.89080929845002], [-76.64670101527044, 34.906495250766476], [-76.6697123177831, 34.97015868534032], [-76.52942594291437, 34.9747977888757], [-76.44467468981208, 35.01682158829303], [-76.42369964867746, 34.946410107738444], [-76.3636527577046, 34.943275341704194], [-76.32904392947168, 34.976120449610534], [-76.31434872940942, 34.94897901824994], [-76.46954580914445, 34.78522339315998], [-76.62496300424304, 34.719915232138135], [-77.050199052141, 34.699079284849404], [-77.14863009432862, 34.7644928670915]]], [[[-76.5439189000067, 34.58799432896938], [-76.55479142819507, 34.610824835384406], [-76.5373956835571, 34.61408646951122], [-76.48412548619879, 34.69779511451587], [-76.43193835589292, 34.76084793487691], [-76.37431858777563, 34.8130336664737], [-76.28733898391707, 34.877175252331526], [-76.46890406070393, 34.69344663164172], [-76.5439189000067, 34.58799432896938]]]]}"
13,Caswell,469,459,441,1369,38495,61.6492618,2.97,5.924339757,35.83154889,54.31834404,3.925767309,NC,"{""type"": ""Polygon"",""coordinates"": [[[-79.53025745097771, 36.2462702788933], [-79.5100477627217, 36.547795638616265], [-79.2168032787023, 36.549921313766376], [-79.14406279214282, 36.54619836466839], [-79.15900877556, 36.2338077811266], [-79.25824013835283, 36.23582430516562], [-79.53025745097771, 36.2462702788933]]]}"
57,Catawba,507,483,463,1453,44339,44.0120113,1.66,12.70779677,5.203699368,71.12502927,10.9634746,NC,"{""type"": ""Polygon"",""coordinates"": [[[-80.96123147017097, 35.543698612074074], [-81.52345687665189, 35.56139191911456], [-81.49550989247811, 35.606680409097045], [-81.4055339947827, 35.69764182683865], [-81.3764655049592, 35.7501663050493], [-81.32794143828174, 35.795191164275096], [-81.14120657737953, 35.82345125206322], [-81.12708401916916, 35.789100148926494], [-81.10868902641454, 35.77203335993893], [-81.0720058608346, 35.7437820788375], [-81.05457975902951, 35.713535461549185], [-81.0033776825335, 35.69718978479054], [-80.93107183186487, 35.61972616854373], [-80.96123147017097, 35.543698612074074]]]}"
53,Chatham,503,483,468,1454,53564,47.0704819,2.23,27.92559744,12.47844297,54.71791082,4.87804878,NC,"{""type"": ""Polygon"",""coordinates"": [[[-79.5551071752418, 35.51319375164918], [-79.54073000017762, 35.837127829298105], [-79.23772910599943, 35.83738824820434], [-79.24593092873883, 35.86829422730657], [-79.09510175839273, 35.854087746552324], [-79.01786753043253, 35.858010659242524], [-78.90544618574722, 35.86066333688579], [-78.94416607894155, 35.77026487364072], [-78.93861942043932, 35.76159437975657], [-78.99854752474977, 35.601475346430846], [-78.92081116023533, 35.57901238967561], [-78.97422785941717, 35.51731010062262], [-79.03823812203503, 35.54961504780978], [-79.06703008189602, 35.59885727388592], [-79.13234554728743, 35.624764836635265], [-79.19398577510117, 35.5752809965192], [-79.20947425041929, 35.553602508333114], [-79.22024715943984, 35.550951229398905], [-79.22687678138644, 35.56551515802525], [-79.2758360537992, 35.53042781588009], [-79.2858761428779, 35.544556694183264], [-79.30511010205116, 35.54285498329189], [-79.31475383842417, 35.539280504570925], [-79.31260257207857, 35.52701667529546], [-79.33129486821552, 35.52212979303947], [-79.34269351822839, 35.5103920855885], [-79.5551071752418, 35.51319375164918]]]}"
86,Cherokee,508,489,472,1469,32913,62.0264582,0.92,4.070112894,1.663695781,90.16636958,4.099821747,NC,"{""type"": ""Polygon"",""coordinates"": [[[-84.29095952023276, 35.21062226115387], [-84.22586313412413, 35.2616828608182], [-84.17964268947222, 35.24106946368288], [-84.10156068840668, 35.24563376218531], [-84.04268969732493, 35.27265847904505], [-84.03077171181674, 35.292605779841324], [-84.00380154461052, 35.26217282342317], [-83.99211274017277, 35.232586345009366], [-83.96080724831842, 35.215466664097534], [-83.92155947196225, 35.21905336857179], [-83.83676206146082, 35.24683758445369], [-83.79177667691306, 35.24874972335324], [-83.75345950832128, 35.237256945400716], [-83.69552606674523, 35.25089922836149], [-83.69658613280417, 35.21452626536968], [-83.72222224238688, 35.19736363890915], [-83.7129745996994, 35.180842398260864], [-83.73941916312151, 35.14593020557302], [-83.75528927879814, 35.14815389396574], [-83.8537822268129, 35.12588136885946], [-83.90722052827917, 35.07050217725174], [-83.9527548802328, 35.0485283024328], [-83.95967460480023, 35.01920840760592], [-83.98845423529986, 34.989151807534256], [-84.1181523825486, 34.988306987259165], [-84.32377349391139, 34.98909057515964], [-84.29095952023276, 35.21062226115387]]]}"
24,Chowan,455,423,413,1291,36231,59.0540541,3.79,4.906333631,42.77430865,48.34968778,3.969669938,NC,"{""type"": ""Polygon"",""coordinates"": [[[-76.68840787757452, 36.29467322772656], [-76.64788727596945, 36.315470736418035], [-76.60390999802908, 36.31513887974141], [-76.56217640484067, 36.34072370332508], [-76.57075075042762, 36.277885092667105], [-76.59415773219347, 36.23997520743337], [-76.57526500622797, 36.10281681226972], [-76.53662085053928, 36.08808493494753], [-76.48019205728859, 36.07995237420887], [-76.42008569527844, 36.058766024397414], [-76.52267292374584, 36.00732958642699], [-76.59366647448752, 36.01029308830687], [-76.64868433292018, 36.06586799557557], [-76.63287539781412, 36.03727750162393], [-76.68982300851974, 36.049770045733496], [-76.7261797568472, 36.15698000765981], [-76.68840787757452, 36.29467322772656]]]}"
95,Clay,520,501,490,1511,35143,52.4828113,1.52,4.036557502,0.913937548,92.91698401,2.132520944,NC,"{""type"": ""Polygon"",""coordinates"": [[[-83.93789913945233, 34.98947749953018], [-83.98845423529986, 34.989151807534256], [-83.95967460480023, 35.01920840760592], [-83.9527548802328, 35.0485283024328], [-83.90722052827917, 35.07050217725174], [-83.8537822268129, 35.12588136885946], [-83.75528927879814, 35.14815389396574], [-83.73941916312151, 35.14593020557302], [-83.71769684871806, 35.138899982989486], [-83.64476313309149, 35.14345174491437], [-83.64345057414435, 35.127590280512315], [-83.56192479594934, 35.0560348113549], [-83.55311976697477, 35.03585501402965], [-83.52710180981741, 35.01982953803874], [-83.51288766206532, 34.99211577565049], [-83.54929730231704, 34.98962850830513], [-83.93789913945233, 34.98947749953018]]]}"
69,Cleveland,498,475,451,1424,37390,57.4075282,2.67,4.757281553,25.71521036,64.17475728,5.352750809,NC,"{""type"": ""Polygon"",""coordinates"": [[[-81.32262572218731, 35.16389180573374], [-81.36198016306068, 35.16298673736078], [-81.76518110376509, 35.18259606860379], [-81.75931362284663, 35.220822735538675], [-81.73698887926861, 35.25429689989586], [-81.69750441025626, 35.35338958327514], [-81.68413663690046, 35.56556551155158], [-81.64372249259642, 35.55342798052426], [-81.58792715913992, 35.56190550436152], [-81.56235264456011, 35.555440153023966], [-81.52345687665189, 35.56139191911456], [-81.50677079555012, 35.546629477409105], [-81.51531576824672, 35.521555338046184], [-81.4448858454541, 35.41350040043266], [-81.40722555208235, 35.35993859813638], [-81.35306992008204, 35.32743467163375], [-81.36460595440748, 35.31050485252645], [-81.35215418007695, 35.275238372012915], [-81.31923203956397, 35.26063294835099], [-81.3112272793906, 35.18808501740608], [-81.32262572218731, 35.16389180573374]]]}"
103,Columbus,436,417,408,1261,31282,65.8411887,2.65,8.266414738,31.8375059,52.41694221,7.479137144,NC,"{""type"": ""Polygon"",""coordinates"": [[[-78.65545315327165, 33.948845000724475], [-79.07425757426174, 34.304738492617524], [-79.04070161132628, 34.31946399804286], [-79.02922639494312, 34.34754023329504], [-79.00616924585557, 34.36643477240193], [-79.00198824544091, 34.388208890844815], [-78.97511629869346, 34.399332772232526], [-78.95048767406968, 34.44954932868235], [-78.91922093163681, 34.45380694727133], [-78.86425622414862, 34.477363435494986], [-78.83610233464132, 34.4593661423511], [-78.81163368089132, 34.455486952270185], [-78.66823253634757, 34.46529967341982], [-78.659557535512, 34.451112774592474], [-78.63782040515326, 34.451315069366466], [-78.43767083643552, 34.3720106483824], [-78.32870399231584, 34.36459044498999], [-78.2612193363812, 34.39495496827206], [-78.19428463212921, 34.35121961519586], [-78.18433561455181, 34.34833956962351], [-78.15450358499109, 34.362411877915626], [-78.26078527033478, 34.215432576564126], [-78.37330006950724, 34.20251969447858], [-78.36084829517671, 34.18689108923379], [-78.42515865859501, 34.138235077667886], [-78.49247552124591, 34.15867379158223], [-78.52696929270724, 34.15502704622626], [-78.54401396136997, 34.134332627573265], [-78.56316430882359, 34.05911538988844], [-78.5875182684303, 34.03077635274421], [-78.63000809698639, 34.010371829495895], [-78.63445619902836, 33.978149354339514], [-78.65545315327165, 33.948845000724475]]]}"
